File	Creator	Issue	Volume	Journal	ISSN	ID	Citation	Title	Place Labe	Language	Publisher	Date
History_1a-rdf.tsv	Lewis, D. R.	4	100	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN000208668	AMERICAN HISTORICAL REVIEW 100(4), 1198-1199. (1995)	The Native Americans	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	McKenna, P.	2	41	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY	0004-9522	(Uk)RN000249210	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY 41(2), 253-270. (1995)	Canada and the Inter-American System, 1890-1968	at	eng	THE UNIVERSITY OF QUEENSLAND PRESS	1995
History_1a-rdf.tsv	Bryant, W.	2	36	AMERICAN STUDIES -LAWRENCE-	0026-3079	(Uk)RN000322908	AMERICAN STUDIES -LAWRENCE- 36(2), 43-64. (1995)	The Re-Vision of Planet Earth: Space Flight and Environmentalism in Postmodern America	xxu	eng	MID-AMERICA AMERICAN STUDIES ASSOCIATION	1995
History_1a-rdf.tsv	Le Beau, B. F.	2	36	AMERICAN STUDIES -LAWRENCE-	0026-3079	(Uk)RN000322945	AMERICAN STUDIES -LAWRENCE- 36(2), 111-118. (1995)	Why Upstarts Win in America: Religion in the Market Place	xxu	eng	MID-AMERICA AMERICAN STUDIES ASSOCIATION	1995
History_1a-rdf.tsv	Shank, B.	2	36	AMERICAN STUDIES -LAWRENCE-	0026-3079	(Uk)RN000323007	AMERICAN STUDIES -LAWRENCE- 36(2), 173-174. (1995)	Fables of Abundance: A Cultural History of Advertising in America. By Jackson Lears	xxu	eng	MID-AMERICA AMERICAN STUDIES ASSOCIATION	1995
History_1a-rdf.tsv	Schulzinger, R. D.	2	36	AMERICAN STUDIES -LAWRENCE-	0026-3079	(Uk)RN000323044	AMERICAN STUDIES -LAWRENCE- 36(2), 178-179. (1995)	The Cambridge History of American Foreign Relations. Edited by Warren I. Cohen	xxu	eng	MID-AMERICA AMERICAN STUDIES ASSOCIATION	1995
History_1a-rdf.tsv	Stone, A. E.	2	36	AMERICAN STUDIES -LAWRENCE-	0026-3079	(Uk)RN000323214	AMERICAN STUDIES -LAWRENCE- 36(2), 198-199. (1995)	Being a Boy, Again: Autobiography and the American Boy Book. By Marcia Jacobson	xxu	eng	MID-AMERICA AMERICAN STUDIES ASSOCIATION	1995
History_1a-rdf.tsv	Sanjek, D.	2	36	AMERICAN STUDIES -LAWRENCE-	0026-3079	(Uk)RN000323305	AMERICAN STUDIES -LAWRENCE- 36(2), 209-210. (1995)	Swing Changes: Big-Band Jazz In New Deal America. By David W. Stone	xxu	eng	MID-AMERICA AMERICAN STUDIES ASSOCIATION	1995
History_1a-rdf.tsv	Stearns, P. N.	SUP	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN000333153	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(SUP), 7-16. (1995)	Uncivil War: Current American Conservatives and Social History	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Bienstock, B. W.	SUP	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN000333190	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(SUP), 59-66. (1995)	Everything Old Is New Again: Social History, The National History Standards and the Crisis in the Teaching of High School American History	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Walton, J. K.	SUP	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN000333219	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(SUP), 73-84. (1995)	The Lion and the Newt: A British View of American Conservatives' Fear of Social History	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Trotter, J. W.	SUP	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN000333220	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(SUP), 85-90. (1995)	Reflections on the African American Experience, Social History, and the Resurgence of Conservatism in American Society	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Striner, R.	4	52	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN000333670	WILLIAM AND MARY QUARTERLY 52(4), 583-608. (1995)	Political Newtonianism: The Cosmic Model Of Politics In Europe And America	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1995
History_1a-rdf.tsv	Landsman, N. C.	4	52	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN000333797	WILLIAM AND MARY QUARTERLY 52(4), 716-717. (1995)	Dobson, Scottish Emigration to Colonial America, 1607-1785	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1995
History_1a-rdf.tsv	Weston, B. T.	4	52	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN000333815	WILLIAM AND MARY QUARTERLY 52(4), 719-720. (1995)	Avery, Behold the Child: American Children and Their Books, 1621-1922	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1995
History_1a-rdf.tsv	Bonomi, P. U.	4	52	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN000333839	WILLIAM AND MARY QUARTERLY 52(4), 723-724. (1995)	Tully, Forming American Politics: Ideals, Interests, and Institutions in Colonial New York and Pennsylvania	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1995
History_1a-rdf.tsv	Wood, P. H.	4	52	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN000333890	WILLIAM AND MARY QUARTERLY 52(4), 735-736. (1995)	Mullin, Africa in America: Slave Acculturation and Resistance in the American South and the British Caribbean, 1736-1831	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1995
History_1a-rdf.tsv	Ray, A. J.	4	52	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN000333918	WILLIAM AND MARY QUARTERLY 52(4), 740-742. (1995)	The Fur Trade Revisited: Selected Papers of the Sixth North American Fur Trade Conference, Mackinac Island, Michigan, 1991, ed. Brown, Eccles, and Heldman	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1995
History_1a-rdf.tsv	Nash, G. B.	4	52	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN000333931	WILLIAM AND MARY QUARTERLY 52(4), 745-746. (1995)	Lee, The Price of Nationhood: The American Revolution in Charles County	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1995
History_1a-rdf.tsv	Guth, C.	11	26	ORIENTATIONS -HONG KONG-	0030-5448	(Uk)RN000522030	ORIENTATIONS -HONG KONG- 26(11), 28-34. (1995)	The Cult of Kannon among Nineteenth Century American Japanophiles	cc	eng	ORIENTATIONS MAGAZINE LTD	1995
History_1a-rdf.tsv	Moran, J.	3	29	JOURNAL OF AMERICAN STUDIES	0021-8758	(Uk)RN000523999	JOURNAL OF AMERICAN STUDIES 29(3), 349-364. (1995)	The Author as a Brand Name: American Literary Figures and the Time	xxk	eng	CAMBRIDGE UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Schaum, M.	3	29	JOURNAL OF AMERICAN STUDIES	0021-8758	(Uk)RN000524013	JOURNAL OF AMERICAN STUDIES 29(3), 379-398. (1995)	H. L. Mencken and American Cultural Masculinism	xxk	eng	CAMBRIDGE UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Ingram, D.	3	29	JOURNAL OF AMERICAN STUDIES	0021-8758	(Uk)RN000524037	JOURNAL OF AMERICAN STUDIES 29(3), 423-440. (1995)	Thomas McGuane: Nature, Environmentalism, and the American West	xxk	eng	CAMBRIDGE UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Bliss, R. M.	3	29	JOURNAL OF AMERICAN STUDIES	0021-8758	(Uk)RN000524049	JOURNAL OF AMERICAN STUDIES 29(3), 441-452. (1995)	Paradigms Lost? British-American Colonial History and the Encyclopedia of the North American Colonies	xxk	eng	CAMBRIDGE UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Fedick, S. L.	4	3	JOURNAL OF ARCHAEOLOGICAL RESEARCH	1059-0161	(Uk)RN000607423	JOURNAL OF ARCHAEOLOGICAL RESEARCH 3(4), 257-304. (1995)	Indigenous Agriculture in the Americas	xxu	eng	PLENUM PUBLISHING CORPORATION	1995
History_1a-rdf.tsv	Bunch, L. G.	4	50	HISTORY NEWS -NASHVILLE-	0363-7492	(Uk)RN000616140	HISTORY NEWS -NASHVILLE- 50(4), 5-9. (1995)	In Black & White: Interpreting African American Culture in Contemporary Museums	xxu	eng	AMERICAN ASSOCIATION FOR STATE AND LOCAL HISTORY	1995
History_1a-rdf.tsv	Jackson, M. S.	1	26	JOURNAL OF BLACK STUDIES	0021-9347	(Uk)RN000691938	JOURNAL OF BLACK STUDIES 26(1), 17-30. (1995)	Afrocentric Treatment of African American Women and Their Children in a Residential Chemical Dependency Program	xxu	eng	SAGE PUBLICATIONS LTD	1995
History_1a-rdf.tsv	Alston, M. H.	1	26	JOURNAL OF BLACK STUDIES	0021-9347	(Uk)RN000691940	JOURNAL OF BLACK STUDIES 26(1), 31-35. (1995)	Suicide in African American Elderly	xxu	eng	SAGE PUBLICATIONS LTD	1995
History_1a-rdf.tsv	LaRosa, M.	4	75	HISPANIC AMERICAN HISTORICAL REVIEW	0018-2168	(Uk)RN000781186	HISPANIC AMERICAN HISTORICAL REVIEW 75(4), 651-652. (1995)	Religion and Democracy in Latin America, edited by William H. Swatos, Jr.	xxu	eng	HISTORY OF THE AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	De Roux, F.	4	75	HISPANIC AMERICAN HISTORICAL REVIEW	0018-2168	(Uk)RN000781824	HISPANIC AMERICAN HISTORICAL REVIEW 75(4), 726-727. (1995)	The Economics of Violence in Latin America: A Theory of Political Competition, by Wilber Albert Chaffee, Jr.	xxu	eng	HISTORY OF THE AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	Hall, R.	2	26	JOURNAL OF BLACK STUDIES	0021-9347	(Uk)RN000810204	JOURNAL OF BLACK STUDIES 26(2), 172-184. (1995)	The Bleaching Syndrome: African Americans' Response to Cultural Domination Vis-a-Vis Skin Color	xxu	eng	SAGE PUBLICATIONS LTD	1995
History_1a-rdf.tsv	Lehman, C. L.	2	26	JOURNAL OF BLACK STUDIES	0021-9347	(Uk)RN000810241	JOURNAL OF BLACK STUDIES 26(2), 217-220. (1995)	Martin & Malcolm & America, by James H. Cone	xxu	eng	SAGE PUBLICATIONS LTD	1995
History_1a-rdf.tsv	Reuben, J. A.	2	77	MID AMERICA -CHICAGO-	0026-2927	(Uk)RN000880115	MID AMERICA -CHICAGO- 77(2), 121-144. (1995)	False Expectations: The Scientific Study of Religion in the Modern American University, 1890-1920	xxu	eng	LOYOLA UNIVERSITY OF CHICAGO	1995
History_1a-rdf.tsv	Ling, P.	1	46	HISTORY TODAY	0018-2753	(Uk)RN000940288	HISTORY TODAY 46(1), 62-63. (1996)	Points of Entry: Edison's last breath and other icons of American progress at the Ford Museum at Greenfield Village	xxk	eng	HISTORY TODAY LTD	1996
History_1a-rdf.tsv	Scurfield, R. M.	3	6	AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH	0893-5394	(Uk)RN001018693	AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH 6(3), 1-22. (1995)	Healing the Warrior: Admission of Two American Indian War-Veteran Cohort Groups To A Specialized Inpatient PTSD Unit	xxu	eng	UNIVERSITY PRESS OF COLORADO	1995
History_1a-rdf.tsv	Husted, J.	3	6	AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH	0893-5394	(Uk)RN001018700	AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH 6(3), 23-30. (1995)	Multi-Dimensional Adolescent Treatment with American Indians	xxu	eng	UNIVERSITY PRESS OF COLORADO	1995
History_1a-rdf.tsv	Lester, D.	3	6	AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH	0893-5394	(Uk)RN001018723	AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH 6(3), 46-55. (1995)	Social Correlates of American Indian Suicide and Homicide Rates	xxu	eng	UNIVERSITY PRESS OF COLORADO	1995
History_1a-rdf.tsv	Roberts, B.	2	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN001126192	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(2), 401-402. (1995)	The Unredeemed Captive: A Family Story from Early America. By John Demos	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Dulberger, J.	2	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN001126234	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(2), 409-410. (1995)	Abandoned to Their Fate: Social Policy and Practice toward Severely Retarded People in America 1820-1920. By Philip M. Ferguson	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Hackett, D. G.	2	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN001126374	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(2), 439-440. (1995)	Religious Melancholy & Protestant Experience in America. By Julius H. Rubin	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Satter, B.	2	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN001126416	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(2), 447-448. (1995)	The Psychiatric Persuasion: Knowledge, Gender, and Power in Modern America. By Elizabeth Lunbeck	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
